CodeID,Rat,Phase,SpeciesID,Species,Sex,Precipitation,TempMax,TempMin,Season,Sunit,spPhase
3e.1,E,bloat,CHA,Chrysomya_albiceps,F,2.2,16.51333333,25,spring,bloatE,bloatCHA
4e.1,E,bloat,CHA,Chrysomya_albiceps,F,3.72,18.69,29.12,spring,bloatE,bloatCHA
3e.2,E,bloat,CHA,Chrysomya_albiceps,F,2.2,16.51333333,25,spring,bloatE,bloatCHA
4e.2,E,bloat,CHA,Chrysomya_albiceps,F,3.72,18.69,29.12,spring,bloatE,bloatCHA
3e.3,E,bloat,LE,Lucilia_eximia,F,2.2,16.51333333,25,spring,bloatE,bloatLE
4e.3,E,bloat,CHA,Chrysomya_albiceps,F,3.72,18.69,29.12,spring,bloatE,bloatCHA
3e.4,E,bloat,HSD,Hemilucilia_semidiaphana,F,2.2,16.51333333,25,spring,bloatE,bloatHSD
3e.5,E,bloat,HSD,Hemilucilia_semidiaphana,F,2.2,16.51333333,25,spring,bloatE,bloatHSD
4e.5,E,bloat,LE,Lucilia_eximia,F,3.72,18.69,29.12,spring,bloatE,bloatLE
3e.7,E,bloat,HSD,Hemilucilia_semidiaphana,F,2.2,16.51333333,25,spring,bloatE,bloatHSD
10a1,A,active decay,CL,Calliphora_lopesi,F,5.533333333,14.86666667,25.48,winter,active decayA,active decayCL
10a2,A,active decay,CL,Calliphora_lopesi,F,5.533333333,14.86666667,25.48,winter,active decayA,active decayCL
10a3,A,active decay,CL,Calliphora_lopesi,F,5.533333333,14.86666667,25.48,winter,active decayA,active decayCL
10a6,A,active decay,LE,Lucilia_eximia,F,5.533333333,14.86666667,25.48,winter,active decayA,active decayLE
10d1,D,bloat,LE,Lucilia_eximia,F,5.533333333,14.86666667,25.48,winter,bloatD,bloatLE
10g1,G,advance decay,CHA,Chrysomya_albiceps,F,3.725,19.4625,24.6,spring,advance decayG,advance decayCHA
10g2,G,advance decay,CHA,Chrysomya_albiceps,F,3.725,19.4625,24.6,spring,advance decayG,advance decayCHA
10g3,G,advance decay,CHA,Chrysomya_albiceps,F,3.725,19.4625,24.6,spring,advance decayG,advance decayCHA
